,Title,Author,num_ratings,Average Rating,Number of Awards,Year First Published,Number of Reviews,Genre,Location
0,The Hunger Games,Suzanne Collins,6532119,4.33,40.0,2008,173696,"Young Adult, Fiction, Science Fiction >, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Young Adult >, Teen, Apocalyptic >, Post Apocalyptic, Action, See top shelves…","District 12, Panem, Capitol, Panem, Panem, United States)"
1,Harry Potter and the Order of the Phoenix,J.K. Rowling,2580995,4.5,8.0,2003,43636,N/A,"Hogwarts School of Witchcraft and Wizardry, United Kingdom), London, England"
2,To Kill a Mockingbird,Harper Lee,4627182,4.28,N/A,1960,92947,"Classics, Fiction, Historical >, Historical Fiction, Academic >, School, Literature, Young Adult, Historical, Novels, Academic >, Read For School, Young Adult >, High School, See top shelves…","Literary Awards, Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)"
3,Pride and Prejudice,Jane Austen,3086649,4.27,N/A,1813,69415,N/A,Other Editions (6271)
4,Twilight,Stephenie Meyer,5087005,3.6,24.0,2005,105670,"Young Adult, Fantasy, Romance, Paranormal >, Vampires, Fiction, Fantasy >, Paranormal, Romance >, Paranormal Romance, Fantasy >, Supernatural, Young Adult >, Teen, Fantasy >, Urban Fantasy, See top shelves…","Forks, Washington, United States), Phoenix, Arizona, United States), Washington (state), United States)"
5,The Book Thief,Markus Zusak,1887415,4.37,N/A,2005,114588,"Historical >, Historical Fiction, Fiction, Young Adult, Historical, Classics, War, World War II >, Holocaust, War >, World War II, Writing >, Books About Books, Audiobook, See top shelves…","Literary Awards, National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009), more, Michael L. Printz Award Nominee (2007), Exclusive Books Boeke Prize (2007), Rhode Island Teen Book Award Nominee (2008), The Quill Award Nominee for Young Adult/Teen (2006), Zilveren Zoen (2008), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009), Association of Jewish Libraries for Teen Book Award (2006), Lincoln Award Nominee (2010), Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008), Kathleen Mitchell Award, Ena Noel Award (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2009), LovelyBooks Leserpreis for Allgemeine Literatur (2009), Margaret A. Edwards Award (2014), less                "
6,Animal Farm,George Orwell,2822518,3.95,N/A,1945,57964,"Classics, Fiction, Science Fiction >, Dystopia, Fantasy, Literature, Politics, Academic >, School, Science Fiction, Novels, Academic >, Read For School, See top shelves…","Literary Awards, Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)"
7,The Chronicles of Narnia,C.S. Lewis,532794,4.26,N/A,1956,10524,N/A,N/A
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,112415,4.6,N/A,1955,1815,N/A,N/A
9,The Fault in Our Stars,John Green,3663593,4.2,N/A,2012,156518,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Young Adult >, Teen, Young Adult >, Coming Of Age, Novels, Drama, Love, See top shelves…",N/A
10,Gone with the Wind,Margaret Mitchell,1089441,4.3,N/A,1936,20079,N/A,"Literary Awards, Pulitzer Prize for Novel (1937), National Book Award for Novel (1936)"
