,url,title,author,num_ratings,avg_rating
40,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"2,056,735", 4.26 
41,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,J.D. Salinger,"2,798,346", 3.81 
42,https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,"793,817", 4.25 
43,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,"916,154", 4.13 
44,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini,"1,179,337", 4.38 
45,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"2,046,561", 4.45 
46,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"1,068,018", 3.99 
47,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,Mark Twain,"1,164,217", 3.82 
48,https://www.goodreads.com/book/show/231804.The_Outsiders,The Outsiders,S.E. Hinton,"964,541", 4.10 
49,https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones,Alice Sebold,"2,052,412", 3.82 
50,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,"836,223", 4.22 
51,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,"634,339", 4.29 
52,https://www.goodreads.com/book/show/1381.The_Odyssey,The Odyssey,Homer,"877,135", 3.77 
53,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi,Yann Martel,"1,366,270", 3.92 
54,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,Charles Dickens,"821,725", 3.85 
55,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants,Sara Gruen,"1,404,522", 4.09 
56,https://www.goodreads.com/book/show/7604.Lolita,Lolita,Vladimir Nabokov,"675,583", 3.89 
57,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,"1,150,838", 4.08 
58,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini,"2,482,652", 4.31 
59,https://www.goodreads.com/book/show/35031085-frankenstein,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"1,192,249", 3.81 
60,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"1,508,437", 4.11 
61,https://www.goodreads.com/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,"1,836,191", 4.13 
62,https://www.goodreads.com/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,"806,153", 4.23 
63,https://www.goodreads.com/book/show/168668.Catch_22,"Catch-22 (Catch-22, #1)",Joseph Heller,"734,597", 3.98 
64,https://www.goodreads.com/book/show/149267.The_Stand,The Stand,Stephen King,"630,103", 4.34 
65,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"667,756", 4.32 
66,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"249,122", 4.30 
67,https://www.goodreads.com/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",Richard  Adams,"440,936", 4.06 
