url,title,author,num_ratings,avg_rating,awards,original_publish_year,norm_mean,norm_max_min
https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories,Breakfast of Champions,Truman Capote,214391,3,,1973,-4.805,1.0
https://www.goodreads.com/book/show/4980.Breakfast_of_Champions,Harry Potter Series Box Set,Kurt Vonnegut Jr.,226260,4,,2007,4.195,10.0
https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set,City of Heavenly Fire,J.K. Rowling,256792,4,,2014,4.195,10.0
https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire,The Origin of Species,Cassandra Clare,301542,4,,1859,4.195,10.0
https://www.goodreads.com/book/show/22463.The_Origin_of_Species,Daughter of Smoke & Bone,Charles Darwin,101927,3,13.0,2011,-4.805,1.0
https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Evermore,Laini Taylor,321693,4,,2009,4.195,10.0
https://www.goodreads.com/book/show/3975774-evermore,A Fine Balance,Alyson Noel,268382,3,,1995,-4.805,1.0
https://www.goodreads.com/book/show/5211.A_Fine_Balance,The Strange Case of Dr. Jekyll and Mr. Hyde,Rohinton Mistry,131934,4,,1886,4.195,10.0
https://www.goodreads.com/book/show/51496.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,11/22/63,Robert Louis Stevenson,398229,3,,2011,-4.805,1.0
https://www.goodreads.com/book/show/10644930-11-22-63,Hamlet,Stephen King,431813,4,,1603,4.195,10.0
https://www.goodreads.com/book/show/1420.Hamlet,The Subtle Knife,William Shakespeare,745812,4,,1997,4.195,10.0
https://www.goodreads.com/book/show/41637836-the-subtle-knife,Midnight in the Garden of Good and Evil,Philip Pullman,377742,4,,1994,4.195,10.0
https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil,Death of a Salesman,John Berendt,229201,3,,1949,-4.805,1.0
https://www.goodreads.com/book/show/12898.Death_of_a_Salesman,The Plague,Arthur  Miller,189965,3,,1947,-4.805,1.0
https://www.goodreads.com/book/show/11989.The_Plague,A Streetcar Named Desire,Albert Camus,179007,4,,1947,4.195,10.0
https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire,The Prince,Tennessee Williams,264365,3,,1532,-4.805,1.0
https://www.goodreads.com/book/show/28862.The_Prince,Infinite Jest,Niccolò Machiavelli,266749,3,,1996,-4.805,1.0
https://www.goodreads.com/book/show/6759.Infinite_Jest,Snow Flower and the Secret Fan,David Foster Wallace,75909,4,,2005,4.195,10.0
https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan,Anna and the French Kiss,Lisa See,343815,4,7.0,2010,4.195,10.0
https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss,The Remains of the Day,Stephanie Perkins,370944,4,,1989,4.195,10.0
https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day,"Faust, First Part",Kazuo Ishiguro,205388,4,,1808,4.195,10.0
https://www.goodreads.com/book/show/14706.Faust_First_Part,Miss Peregrine's Home for Peculiar Children,Johann Wolfgang von Goethe,59268,3,,2011,-4.805,1.0
https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,A Feast for Crows,Ransom Riggs,1005411,3,,2005,-4.805,1.0
https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,The Angel Experiment,George R.R. Martin,638880,4,2.0,2005,4.195,10.0
https://www.goodreads.com/book/show/13152.The_Angel_Experiment,Flowers in the Attic,James Patterson,209162,4,,1979,4.195,10.0
https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic,Matched,V.C. Andrews,164965,3,,2010,-4.805,1.0
https://www.goodreads.com/book/show/7735333-matched,All the Light We Cannot See,Ally Condie,667856,3,,2014,-4.805,1.0
