,2009,2010,2011,2008,2003,2004,2005,2007,2006,2012,2014,2013,1998,2002,1999,2001,2000,1997,2015,1992,2016,1995,1996,2017,2018,1991,1990,2019
The Scorch Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inheritance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Knife of Never Letting Go,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Sense and Sensibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where She Went,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Prince Caspian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Killer Angels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crooked Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If on a Winter's Night a Traveler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity's Rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bourne Identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Wizard of Earthsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oedipus Rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Left Hand of Darkness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanna: The First Adventure,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Rosencrantz and Guildenstern Are Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One for the Money,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
1Q84,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Lover Unbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin's Apprentice,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
A Breath of Snow and Ashes,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Night Watch,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Tempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sisterhood of the Traveling Pants,,,,,2.0,4.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,
The Lies of Locke Lamora,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
The Nightingale,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
The Big Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prodigy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The No. 1 Ladies' Detective Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alienist,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
Lover Revealed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Edge of Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ender's Shadow,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,
Lover Avenged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Academy,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Living Dead in Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Omnivore's Dilemma: A Natural History of Four Meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witch of Blackbird Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Death Cure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Fortress,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jungle Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl on the Train,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,
Hard-Boiled Wonderland and the End of the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Color of Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Royale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starship Troopers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Poppins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Writing: A Memoir of the Craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sparrow,,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,
The Forgotten Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the World in Eighty Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel's Inferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon vs. the Homo Sapiens Agenda,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,3.0,1.0,,,
Specials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Swans: Three Daughters of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughter of the Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflected in You,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dark Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lover Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Millennium Trilogy (Millennium Trilogy, #1-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burned,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Crank,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
House of Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still Life with Woodpecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Connecticut Yankee in King Arthur's Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Night World, No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Will Grayson, Will Grayson",,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Journey to the End of the Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Moveable Feast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunar Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Murder of Roger Ackroyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roll of Thunder, Hear My Cry",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Dead and Gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brief Wondrous Life of Oscar Wao,1.0,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
The Fountainhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silas Marner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every Day,,,,,,,,,,1.0,2.0,2.0,,,,,,,3.0,,,,,,,,,
Wizard and Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rime of the Ancient Mariner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Drawing of the Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Without Qualities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Well of Ascension,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Ember in the Ashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unearthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Far Pavilions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beastly,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
The Tempest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dispossessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anansi Boys,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
Lover Enshrined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let the Right One In,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hogfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdsong: A Novel of Love and War,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,2.0,4.0,
Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads and the Himalayan Crystals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across the Universe,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
The Iron Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Darker Shade of Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
The Short Second Life of Bree Tanner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cry Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memnoch the Devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A River Runs Through it and Other Stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Dublin Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percy Jackson and the Olympians,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stinky Cheese Man and Other Fairly Stupid Tales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Valley of Horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awakened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kushiel's Dart,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
The Immortal Life of Henrietta Lacks,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Life, the Universe and Everything",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Bloodfever,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way of Shadows,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Midnight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forever,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dirty Job,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tale of Despereaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Throne of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Time Quartet Box Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tale of Genji,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destined for an Early Grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts in Atlantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needful Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Crawdads Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
The Dragon Reborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going Postal,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,
The Evolution of Mara Dyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Jellicoe Road,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Breaking Dawn,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Day of the Triffids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alchemyst,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Hopscotch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glass Bead Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Night World, No. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Celestine Prophecy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Never Sky,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Inkdeath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Teeth,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,
Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spy Who Came In from the Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai-Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cruel Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall of Giants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess Diaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Bites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guards! Guards!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilead,,,,,,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,
Old Yeller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just So Stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extras,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Perdido Street Station,1.0,,,,,,,,,,,,,2.0,,3.0,2.0,,,,,,,,,,,
The Blue Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Echo in the Bone,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
